@vocab
la piazza | noun | f | square | piazze
la chiesa | noun | f | church | chiese
la farmacia | noun | f | pharmacy | farmacie
il panificio | noun | m | bakery | panifici
la stazione | noun | f | station | stazioni
il supermercato | noun | m | supermarket | supermercati
il parco | noun | m | park | parchi
il bar | noun | m | bar, café | 
la mappa | noun | f | map | mappe
la strada | noun | f | street, road | strade
il negozio | noun | m | shop | negozi
il centro | noun | m | centre, town centre | centri
il treno | noun | m | train | treni
in ritardo | expression | | late, delayed | 
il cartello | noun | m | sign, notice | cartelli
il cancello | noun | m | gate | cancelli
il binario | noun | m | platform, track | binari
il capo | noun | m | boss | capi
la fontana | noun | f | fountain | fontane
il municipio | noun | m | town hall | municipi
c'è | verb | | there is | 
ci sono | verb | | there are | 
dov'è | adverb | | where is | 
la passeggiata | noun | f | walk, stroll | passeggiate
il pane | noun | m | bread | pani
la medicina | noun | f | medicine | medicine
@end

# SCENE casa-carter | sabato mattina | ben, chiara, leo
NARRATOR: È sabato mattina a Casa Carter. In cucina **c'è** un po' di confusione. || It's Saturday morning at Casa Carter. In the kitchen **there's** a bit of chaos.
CHIARA [fast, nervous]: **Dov'è** la mia borsa? **Dov'è** il telefono? || **Where's** my bag? **Where's** my phone?
BEN: Sul tavolo. Sempre sul tavolo. || On the table. Always on the table.
NARRATOR: Chiara prende la borsa. Guarda l'orologio. Guarda il telefono. || Chiara takes her bag. She looks at the clock. She looks at her phone.
CHIARA: Il **treno** è alle otto e dieci. È tardi. || The **train** is at 8:10. It's late.
BEN: Come si dice... la parte della **stazione** dove tu aspetti il treno? || How do you say... the part of the **station** where you wait for the train?
CHIARA: Il **binario**. || The **platform**.
NARRATOR: Chiara si mette il cappotto. Parla veloce. || Chiara puts on her coat. She talks fast.
BEN: Binario. Grazie. E il **capo**? Come si dice "boss"? || Platform. Thanks. And the **boss**? How do you say "boss"?
CHIARA: Il **capo**. Il mio **capo** è Marchetti. Primo giorno. Non posso essere **in ritardo**. || The **boss**. My **boss** is Marchetti. First day. I can't be **late**.
NARRATOR: Leo entra in cucina con una matita in mano. || Leo comes into the kitchen with a pencil in his hand.
LEO [curious]: Papà, che cos'è una **mappa**? || Dad, what's a **map**?
BEN: Una **mappa** è... una foto della città. Ma con le parole. || A **map** is... a photo of the city. But with words.
NARRATOR: Leo pensa. Leo ama le parole. || Leo thinks. Leo loves words.
