@vocab
il caffè | noun | m | coffee | caffè
il cappuccino | noun | m | cappuccino | cappuccino, cappuccini
il cornetto | noun | m | croissant | cornetto, cornetti
la brioche | noun | f | brioche | brioche
l'acqua | noun | f | water | acqua
il bicchiere | noun | m | glass | bicchiere, bicchieri
il latte | noun | m | milk | latte
la tazza | noun | f | cup | tazza, tazze
il tavolo | noun | m | table | tavolo, tavoli
il conto | noun | m | bill | conto
il bar | noun | m | bar, café | bar
il pranzo | noun | m | lunch | pranzo
la pasta | noun | f | pasta | pasta
il primo | noun | m | first course | primo, primi
il secondo | noun | m | main course | secondo, secondi
il dolce | noun | m | dessert | dolce, dolci
il pane | noun | m | bread | pane
la colazione | noun | f | breakfast | colazione
lo zucchero | noun | m | sugar | zucchero
il quaderno | noun | m | notebook | quaderno, quaderni
la parola | noun | f | word | parola, parole
il problema | noun | m | problem | problema, problemi
la foto | noun | f | photo | foto
vorrei | verb | | I would like | vorrei
per favore | expression | | please | per favore
grazie | interjection | | thank you | grazie
buono | adjective | | good, tasty | buono, buona, buoni, buone
nuovo | adjective | | new | nuovo, nuova, nuovi, nuove
@end

# SCENE bar-tigli | sabato mattina | ben, matteo, nadia
NARRATOR: È sabato mattina. Il **bar** Tigli è aperto. || It's Saturday morning. The **bar** Tigli is open.
NARRATOR: Dentro ci sono cinque persone. C'è profumo di **caffè**. || Inside there are five people. There's the smell of **coffee**.
BEN [entusiasta, troppo forte]: Buongiorno a tutti! || Good morning, everyone!
NARRATOR: Tutti guardano Ben. Nessuno risponde. || Everyone looks at Ben. Nobody answers.
BEN: Buongiorno, Sergio! Buongiorno, Marina! || Good morning, Sergio! Good morning, Marina!
NARRATOR: Sergio e Marina non capiscono. Loro non dicono niente. || Sergio and Marina don't understand. They say nothing.
MATTEO [dietro il banco, allegro]: Ben! Buongiorno! || Ben! Good morning!
MATTEO: Cosa prendi? || What are you having?
BEN [lento, attento]: Allora... Un **caffè**, **per favore**. || So... A **coffee**, **please**.
MATTEO: Un **caffè**. Subito! || A **coffee**. Right away!
NARRATOR: Matteo prende una **tazza** piccola. || Matteo takes a small **cup**.
NARRATOR: La **tazza** è bianca e molto piccola. || The **cup** is white and very small.
NARRATOR: Le **tazze** qui sono piccole. Le **brioche** sono dolci. || The **cups** here are small. The **brioches** are sweet.
BEN [sorpreso]: È piccola! || It's small!
MATTEO [ride]: È un **caffè**, Ben. Non è **acqua**. || It's a **coffee**, Ben. It's not **water**.
NARRATOR: Matteo mette la **tazza** sul banco. || Matteo puts the **cup** on the counter.
MATTEO: Ecco. Un **caffè**, e un **buono**. || Here you are. A **coffee**, and a **good** one.
BEN: **Grazie**! || **Thank you**!
NARRATOR: Ben beve il **caffè**. È forte e **buono**. || Ben drinks the **coffee**. It's strong and **good**.
BEN: Oh! **Buono**! Ma... è piccolo. || Oh! **Good**! But... it's small.
MATTEO: In Italia il **caffè** è piccolo. È normale. || In Italy **coffee** is small. It's normal.
BEN: È normale. Perfetto. || It's normal. Perfect.
NARRATOR: Ben apre il suo **quaderno**. || Ben opens his **notebook**.
NARRATOR: Il **quaderno** è **nuovo**. Ben scrive una **parola**. || The **notebook** is **new**. Ben writes a **word**.
BEN: **Caffè**. || **Coffee**.
MATTEO: Che cos'è? || What is that?
BEN: Il mio **quaderno**. Per le **parole** che sono **nuove**. || My **notebook**. For **words** that are **new**.
MATTEO: Ah! Un **quaderno** per le **parole**! Geniale! || Ah! A **notebook** for **words**! Brilliant!
NARRATOR: Nadia arriva dalle scale. || Nadia comes down the stairs.
NADIA: Buongiorno, Ben. || Good morning, Ben.
BEN: Buongiorno, Nadia! **Vorrei** un **cornetto**, **per favore**. || Good morning, Nadia! I'd **like** a **croissant**, **please**.
MATTEO: Un **cornetto**! Bravo, Ben! || A **croissant**! Well done, Ben!
NADIA: Quale? Abbiamo **cornetti** semplici e **brioche**. || Which one? We have plain **croissants** and **brioches**.
BEN: Perché due **parole**? || Why two **words**?
MATTEO: Il **cornetto** è vuoto. La **brioche** è dolce, con la crema. || The **croissant** is empty. The **brioche** is sweet, with cream.
BEN: **Cornetto**. **Brioche**. Due **parole**. || **Croissant**. **Brioche**. Two **words**.
NARRATOR: Nadia prende un **cornetto** e una **brioche**. || Nadia takes a **croissant** and a **brioche**.
NARRATOR: Mette tutto su un piatto davanti a Ben. || She puts everything on a plate in front of Ben.
NADIA: Prima assaggia. Poi scegli. || First taste. Then choose.
BEN: Tutti e due? || Both?
NADIA: Tutti e due. || Both.
NARRATOR: Ben assaggia il **cornetto**. Poi la **brioche**. || Ben tastes the **croissant**. Then the **brioche**.
BEN: **Buoni**! **Buoni** tutti e due! || **Good**! **Good**, both of them!
MATTEO: Allora? Quale prendi? || So? Which one are you having?
BEN: È un **problema**. Un **problema** grande. || That's a **problem**. A big **problem**.
NADIA: Un **problema** grande, sì. || A big **problem**, yes.
BEN: Prendo tutti e due. || I'll have both.
MATTEO: Perfetto! E **zucchero**? || Perfect! And **sugar**?
BEN: **Zucchero**? Nel **caffè**? || **Sugar**? In the **coffee**?
MATTEO: No. Nel **caffè** no. Nel **cappuccino** sì. E nell'**acqua** no. || No. Not in the **coffee**. In **cappuccino**, yes. And not in **water**.
BEN: Che cos'è un **cappuccino**? || What is a **cappuccino**?
MATTEO: **Caffè** con **latte**. Tanto **latte**. || **Coffee** with **milk**. Lots of **milk**.
BEN: Ah! **Caffè** con **latte**. **Buono**! || Ah! **Coffee** with **milk**. **Good**!
MATTEO: Ma attenzione. Il **cappuccino** è per la **colazione**. Solo **colazione**. || But careful. **Cappuccino** is for **breakfast**. Only **breakfast**.
BEN [scrive]: **Cappuccino**: **colazione**. || **Cappuccino**: **breakfast**.
NARRATOR: Nadia mette un **bicchiere** d'**acqua** sul **tavolo**. || Nadia puts a **glass** of **water** on the **table**.
NADIA: Ecco l'**acqua**. || Here's the **water**.
BEN: **Grazie**. Un **bicchiere** d'**acqua**. || **Thank you**. A **glass** of **water**.
NARRATOR: Il **bicchiere** è piccolo. L'**acqua** è fresca. || The **glass** is small. The **water** is fresh.
BEN: Ah! L'**acqua** è **buona**! || Ah! The **water** is **good**!
NARRATOR: Matteo indica la **foto** sopra il banco. || Matteo points at the **photo** above the counter.
MATTEO: Vedi la **foto**? È Gino. Quarant'anni in questo **bar**. || See the **photo**? That's Gino. Forty years in this **bar**.
BEN: Quarant'anni? In un **bar**? || Forty years? In a **bar**?
MATTEO: In un **bar** piccolo, ma **buono**. || In a small **bar**, but a **good** one.
NARRATOR: Ben guarda la **foto**. Gino guarda Ben. || Ben looks at the **photo**. Gino looks at Ben.
BEN: Gino. Un **bar** per quarant'anni. Quaranta **caffè** al giorno? || Gino. A **bar** for forty years. Forty **coffees** a day?
MATTEO: Cento! Ma il **caffè** è sempre piccolo. || A hundred! But the **coffee** is always small.
NARRATOR: Al **bar** entrano altre due persone. || Two more people come into the **bar**.
BEN: Buongiorno, Alberto! Buongiorno, Pietro! || Good morning, Alberto! Good morning, Pietro!
NARRATOR: Alberto e Pietro guardano Matteo. || Alberto and Pietro look at Matteo.
NARRATOR: Matteo alza le spalle. || Matteo shrugs.
MATTEO: È americano. || He's American.
NARRATOR: Alberto e Pietro ridono. Ben non capisce. || Alberto and Pietro laugh. Ben doesn't understand.
BEN: Perché ridono? || Why are they laughing?
MATTEO: Perché qui al **bar** tutti dicono buongiorno. Tu sei il primo americano. || Because here at the **bar** everyone says good morning. You're the first American.
BEN: Il primo americano di Borgoverde! || The first American in Borgoverde!
NARRATOR: Nadia prende un panno e pulisce il **tavolo** vicino. || Nadia takes a cloth and wipes the nearby **table**.
NADIA: Il primo di molti. || The first of many.
NARRATOR: Ben guarda il **tavolo**. È libero e vicino alla finestra. || Ben looks at the **table**. It's free and near the window.
BEN: Posso? || May I?
MATTEO: Per il **tavolo**? Per il **tavolo** sì. || For the **table**? For the **table**, yes.
NARRATOR: Ben va al **tavolo** con il **quaderno** e il **caffè**. || Ben goes to the **table** with the **notebook** and the **coffee**.
NARRATOR: Apre il **quaderno** un'altra volta. || He opens the **notebook** again.
BEN [mentre scrive]: **Tazza**, **bicchiere**, **tavolo**, **conto**... || **Cup**, **glass**, **table**, **bill**...
MATTEO: **Conto**? Il **conto** è dopo. || **Bill**? The **bill** is later.
BEN: Il **conto** è... dopo? || The **bill** is... later?
MATTEO: Sì. Prima bevi, poi paghi. || Yes. First you drink, then you pay.
BEN: Ah! Prima il **caffè**, poi il **conto**. || Ah! First the **coffee**, then the **bill**.
NARRATOR: Ben guarda il **bicchiere** e la **tazza**. || Ben looks at the **glass** and the **cup**.
BEN: Il **bicchiere** è per l'**acqua**. La **tazza** è per il **caffè**. || The **glass** is for **water**. The **cup** is for **coffee**.
MATTEO: Bravo! In italiano: la **tazza**, il **bicchiere**, il **tavolo**. || Well done! In Italian: the **cup**, the **glass**, the **table**.
BEN [scrive]: La **tazza**, il **bicchiere**, il **tavolo**. || The **cup**, the **glass**, the **table**.
NARRATOR: Nadia prende le **tazze** vuote. || Nadia takes the empty **cups**.
