#separator:comma
#html:true
#columns:Italiano,English,Lemma,Notes,Tags
#tags column:5
"<b>Ciao</b>, Emma. Senza discorso.","<b>Bye</b>, Emma. No speech.","ciao (interj.)","hi; bye","IMv4 A1 s01e01"
"Allora, <b>buongiorno</b>, signor Franco!","Then, <b>good morning</b>, Mr. Franco!","buongiorno (interj.)","good morning","IMv4 A1 s01e01"
"<b>Buonasera</b>, ragazzi.","<b>Good evening</b>, children.","buonasera (interj.)","good evening","IMv4 A1 s01e01"
"<b>Arrivederci</b>, mamma di Leo.","<b>Goodbye</b>, Leo’s mom.","arrivederci (interj.)","goodbye","IMv4 A1 s01e01"
"<b>Mi chiamo</b> Ben Carter.","<b>My name is</b> Ben Carter.","mi chiamo (expr.)","my name is","IMv4 A1 s01e01"
"Sì, Leo. Io <b>sono</b> americano.","Yes, Leo. I <b>am</b> American.","essere (v.)","to be","IMv4 A1 s01e01"
"Sì, italiana e <b>americana</b>.","Yes, Italian and <b>American</b>.","americano (adj., m/f)","American","IMv4 A1 s01e01"
"Sì, <b>italiana</b> e americana.","Yes, <b>Italian</b> and American.","italiano (adj., m/f)","Italian","IMv4 A1 s01e01"
"Sì, sono il nuovo <b>vicino</b>.","Yes, I’m the new <b>neighbour</b>.","il vicino (n., m)","neighbour","IMv4 A1 s01e01"
"Sì. La <b>scuola</b> è qui.","Yes. The <b>school</b> is here.","la scuola (n., f)","school","IMv4 A1 s01e01"
"Sì. Ben Carter. <b>Piacere</b>.","Yes. Ben Carter. <b>Pleased to meet you</b>.","piacere (expr.)","pleased to meet you","IMv4 A1 s01e01"
"<b>Benvenuto</b>? È per me?","<b>Welcome</b>? Is that for me?","benvenuto (adj., m)","welcome","IMv4 A1 s01e01"
"<b>Grazie</b>. Il mio primo giorno è bello.","<b>Thank you</b>. My first day is nice.","grazie (interj.)","thank you","IMv4 A1 s01e01"
"Chiara, questo <b>signore</b> è il vicino?","Chiara, is this <b>gentleman</b> the neighbour?","il signore (n., m)","gentleman; sir","IMv4 A1 s01e01"
"Mamma, la <b>signora</b> è alla finestra.","Mom, the <b>lady</b> is at the window.","la signora (n., f)","lady; ma’am","IMv4 A1 s01e01"
"Sì. <b>La famiglia</b> è pronta.","Yes. <b>The family</b> is ready.","la famiglia (n., f)","family","IMv4 A1 s01e01"
"Le scatole sono della vostra <b>casa</b>?","Are the boxes for your <b>house</b>?","la casa (n., f)","house; home","IMv4 A1 s01e01"
"Il mio <b>nome</b> è Emma.","My <b>name</b> is Emma.","il nome (n., m)","name","IMv4 A1 s01e01"
"Sono il tuo <b>amico</b>?","Am I your <b>friend</b>?","l’amico (n., m)","friend","IMv4 A1 s01e01"
"La <b>classe</b> è grande.","The <b>class</b> is big.","la classe (n., f)","class","IMv4 A1 s01e01"
"Leo, questa è la tua <b>maestra</b>.","Leo, this is your <b>teacher</b>.","il maestro (n., m)","teacher","IMv4 A1 s01e01"
"Bene. E questo <b>furgone</b>?","Good. And this <b>van</b>?","il furgone (n., m)","van","IMv4 A1 s01e01"
"È un <b>posto</b> speciale.","It’s a special <b>spot</b>.","il posto (n., m)","space; spot","IMv4 A1 s01e01"
"«E questo è il <b>gatto</b>».","“And this is the <b>cat</b>.”","il gatto (n., m)","cat","IMv4 A1 s01e01"
"Dalla <b>finestra</b>, arriva una voce gentile.","A kind voice comes from the <b>window</b>.","la finestra (n., f)","window","IMv4 A1 s01e01"
"<b>Mah</b>.","<b>Well</b>.","mah (interj.)","well; I don’t know","IMv4 A1 s01e01"
"Pietro, aiuti Leo con il <b>quaderno</b>?","Pietro, will you help Leo with the <b>notebook</b>?","il quaderno (n., m)","notebook","IMv4 A1 s01e01"
