@vocab
la casa | noun | f | house; home | case
la cucina | noun | f | kitchen | cucine
il bagno | noun | m | bathroom | bagni
la camera | noun | f | bedroom | camere
il letto | noun | m | bed | letti
il tavolo | noun | m | table | tavoli
la sedia | noun | f | chair | sedie
la finestra | noun | f | window | finestre
la scatola | noun | f | box | scatole
il giardino | noun | m | garden | giardini
la porta | noun | f | door | porte
il divano | noun | m | sofa | divani
la stanza | noun | f | room | stanze
il corridoio | noun | m | hallway; corridor | corridoi
la caffettiera | noun | f | coffee maker; moka pot | caffettiere
il gatto | noun | m | cat | gatti
il nome | noun | m | name | nomi
la parola | noun | f | word | parole
il foglio | noun | m | sheet of paper | fogli
il quaderno | noun | m | notebook | quaderni
grande | adjective | | big; large | grandi
piccolo | adjective | | small; little | piccola, piccoli, piccole
pesante | adjective | | heavy | pesanti
mettere | verb | | to put | metto, mette, mettiamo, mettono
aprire | verb | | to open | apro, apre, apriamo, aprono
trovare | verb | | to find | trovo, trova, troviamo, trovano
cercare | verb | | to look for | cerco, cerca, cerchiamo, cercano
@end

# SCENE casa-carter | sabato mattina | chiara, ben, leo
NARRATOR: È sabato mattina in Via dei Tigli 14. || It's Saturday morning at Via dei Tigli 14.
NARRATOR: La **casa** è piena di **scatole**. || The **house** is full of **boxes**.
NARRATOR: Le **scatole** sono dappertutto: **cucina**, **corridoio**, **tavolo**. || The **boxes** are everywhere: **kitchen**, **hallway**, **table**.
NARRATOR: Ogni **scatola** ha un nome in inglese. || Each **box** has an English name.
BEN: Allora… KITCHEN. || So… KITCHEN.
BEN: BATHROOM. || BATHROOM.
BEN: E questa? "STUFF". || And this one? "STUFF".
CHIARA: "Stuff" non è una **stanza**, Ben. || "Stuff" isn't a **room**, Ben.
BEN [proud]: Perfetto! || Perfect!
NARRATOR: Ben apre una **scatola** e guarda dentro. || Ben opens a **box** and looks inside.
BEN: Dov'è la **caffettiera**? || Where's the **coffee maker**?
NARRATOR: Lui **cerca** la **caffettiera** in ogni **scatola**. || He **looks for** the **coffee maker** in every **box**.
NARRATOR: La **caffettiera** è in una **scatola**, ma quale **scatola**? || The **coffee maker** is in a **box**, but which **box**?
LEO: Papà, **cerchi** la **caffettiera**? || Dad, are you **looking for** the **coffee maker**?
BEN: Sì. Io **cerco** la **caffettiera**. || Yes. I'm **looking for** the **coffee maker**.
LEO: È una **scatola** bianca? || Is it a white **box**?
