lemma,pos,gender,en,level,introduced,recycled,forms
abitare,verb,,"to live, to reside",A1,s01e01,s01e04,"abita, abitano, abitare, abiti, abitiamo, abito"
americano,adjective,,American,A1,s01e01,s01e02 s01e03 s01e05 s05e03,"americana, americane, americani, americano"
arrivederci,interjection,,goodbye,A1,s01e01,,arrivederci
benvenuto,adjective,,welcome,A1,s01e01,s01e04,"benvenuta, benvenute, benvenuti, benvenuto"
buonasera,interjection,,good evening,A1,s01e01,s01e02 s01e04,buonasera
buongiorno,interjection,,good morning,A1,s01e01,s01e02 s01e03 s01e04 s01e05 s05e03,buongiorno
ciao,interjection,,hi; bye,A1,s01e01,s01e04 s01e05 s05e03,ciao
essere,verb,,to be,A1,s01e01,s01e02 s01e03 s01e04 s01e05 s05e03,"essere, sei, siamo, siete, sono, è"
grazie,interjection,,thank you,A1,s01e01,s01e02 s01e03 s01e04 s01e05 s05e03,grazie
il gatto,noun,m,cat,A1,s01e01,s01e02 s01e03 s01e05 s05e03,"gatti, gatto, il gatto"
il giorno,noun,m,day,A1,s01e01,s01e02 s01e03 s05e03,"giorni, giorno, il giorno"
il nome,noun,m,name,A1,s01e01,s01e03,"il nome, nome, nomi"
il parcheggio,noun,m,parking space,A1,s01e01,,"il parcheggio, parcheggi, parcheggio"
il vicino,noun,m,neighbour,A1,s01e01,s01e02 s01e03 s01e04 s01e05 s05e03,"il vicino, vicina, vicine, vicini, vicino"
italiano,adjective,,Italian,A1,s01e01,s01e02 s01e03 s01e04 s01e05 s05e03,"italiana, italiane, italiani, italiano"
l'amico,noun,m,friend,A1,s01e01,s01e02 s05e03,"amica, amiche, amici, amico, l'amico"
la casa,noun,f,"house, home",A1,s01e01,s01e02 s01e03 s01e04 s01e05 s05e03,"casa, case, la casa"
la classe,noun,f,class,A1,s01e01,s05e03,"classe, classi, la classe"
la finestra,noun,f,window,A1,s01e01,s01e02 s01e03 s01e04 s05e03,"finestra, finestre, la finestra"
la maestra,noun,f,primary-school teacher,A1,s01e01,s05e03,"la maestra, maestra, maestre"
la scuola,noun,f,school,A1,s01e01,s05e03,"la scuola, scuola, scuole"
la signora,noun,f,"lady, madam",A1,s01e01,s01e03 s01e04 s01e05 s05e03,"la signora, signora"
la strada,noun,f,"street, road",A1,s01e01,s01e02 s01e03 s01e04 s01e05 s05e03,"la strada, strada, strade"
mi chiamo,expression,,my name is,A1,s01e01,s01e03 s05e03,"mi chiamo, si chiama, ti chiami"
nuovo,adjective,,new,A1,s01e01,s01e02 s01e03 s01e04 s01e05 s05e03,"nuova, nuove, nuovi, nuovo"
parlare,verb,,"to speak, to talk",A1,s01e01,s01e02 s01e03 s01e05 s05e03,"parla, parlano, parlare, parli, parliamo, parlo"
per favore,expression,,please,A1,s01e01,s01e02 s01e03 s01e04,per favore
piacere,expression,,pleased to meet you; pleasure,A1,s01e01,,piacere
scusi,expression,,excuse me (formal),A1,s01e01,s05e03,scusi
il bicchiere,noun,m,glass,A1,s01e02,s01e05 s05e03,"bicchiere, bicchieri, il bicchiere"
il caffè,noun,m,coffee,A1,s01e02,s01e03 s01e04 s01e05 s05e03,"caffè, il caffè"
il cappuccino,noun,m,cappuccino,A1,s01e02,s05e03,"cappuccini, cappuccino, il cappuccino"
il conto,noun,m,bill,A1,s01e02,s01e04,"conti, conto, il conto"
il cornetto,noun,m,croissant,A1,s01e02,s01e05 s05e03,"cornetti, cornetto, il cornetto"
il dolce,noun,m,dessert,A1,s01e02,s01e05,"dolce, dolci, il dolce"
il latte,noun,m,milk,A1,s01e02,s05e03,"il latte, latte"
il numero,noun,m,number,A1,s01e02,s01e04 s01e05 s05e03,"il numero, numeri, numero"
il pane,noun,m,bread,A1,s01e02,s01e04 s01e05 s05e03,"il pane, pane"
